xent_gt_1,xent_gt_10,xent_gt_28,xent_gt_300,xent_sample_1,xent_sample_10,xent_sample_28,xent_sample_300
327.8731384277344,334.0858489990234,346.5283660888672,528.2545959472657,327.8731384277344,333.1973937988281,345.63880310058596,531.0176574707032
317.4177551269531,320.4462493896484,333.1349792480469,533.9408325195312,317.4177551269531,320.4462493896484,332.2413604736328,501.2332824707031
322.378173828125,328.69996643066406,340.9099487304687,510.5050933837891,322.378173828125,326.0335266113281,338.1749786376953,511.044140625
300.3726501464844,304.23692626953124,318.7047546386719,512.5154174804687,300.3726501464844,303.4505187988281,315.242333984375,499.04396057128906
330.0899963378906,335.8588043212891,348.4260314941406,521.5001403808594,330.0899963378906,335.8588043212891,348.4260314941406,532.9514526367187
323.1725158691406,328.36542053222655,340.11863708496094,537.971630859375,323.1725158691406,326.4269134521484,337.9838531494141,498.61435546875
309.4640808105469,315.31871337890624,327.38722839355466,509.8492797851562,309.4640808105469,315.46653137207034,327.52410583496095,511.2871124267578
331.39508056640625,333.90489196777344,346.43988342285155,530.9385131835937,331.39508056640625,333.90489196777344,346.43988342285155,524.3937805175781
325.75946044921875,330.4629852294922,343.0159454345703,523.5244567871093,325.75946044921875,330.4147125244141,342.98707885742186,525.1787719726562
308.66033935546875,314.95490112304685,325.40552978515626,494.36522521972654,308.66033935546875,315.0011962890625,325.7379119873047,494.6363952636719
313.25604248046875,320.58693542480466,330.72800903320314,495.15635375976564,313.248779296875,320.49231872558596,330.5067596435547,500.9581634521484
324.78045654296875,328.3347412109375,341.8967803955078,551.7483703613282,324.78045654296875,328.3347412109375,339.8351104736328,503.8264678955078
319.70196533203125,326.29283142089844,338.7538604736328,523.9724792480469,319.70196533203125,326.29283142089844,337.7560302734375,524.6791259765625
316.2745666503906,322.01849975585935,333.59632568359376,515.1675231933593,316.2745666503906,321.71941833496095,332.98924255371094,511.03094177246095
316.3434753417969,322.5560729980469,334.3143249511719,505.7873870849609,316.3434753417969,322.3568145751953,334.0320220947266,504.04400329589845
312.5492248535156,315.97490234375,328.07554626464844,505.6337646484375,312.5492248535156,315.97490234375,328.0642150878906,503.18389587402345
305.8778991699219,312.8618591308594,324.4838562011719,491.65257568359374,305.8778991699219,311.96336059570314,323.5223388671875,496.0271453857422
313.2967834472656,319.7080932617188,331.7288787841797,524.4596618652344,313.2967834472656,319.7080932617188,331.8087219238281,519.0524597167969
316.61279296875,322.5195343017578,334.84479064941405,512.9563629150391,316.61279296875,321.5249084472656,333.8508819580078,514.6580078125
323.18975830078125,328.4247222900391,340.6235595703125,537.9076477050781,323.18975830078125,328.6154479980469,340.7865905761719,527.9306579589844
308.99298095703125,312.77647705078124,325.2444641113281,500.0316192626953,308.99298095703125,312.7614807128906,325.05723876953124,496.009228515625
323.7896423339844,329.58233642578125,342.25339965820314,529.9962585449218,323.7896423339844,329.5582000732422,342.2289794921875,526.1117614746094
315.62835693359375,318.5416564941406,328.9673309326172,530.9447326660156,315.62835693359375,318.5416564941406,328.9509552001953,494.4696441650391
328.5551452636719,335.2709991455078,347.5773620605469,534.6796447753907,328.5551452636719,334.4731018066406,346.7794921875,532.2909484863281
309.17669677734375,316.35133056640626,328.6770812988281,520.3045166015625,309.17669677734375,313.99261169433595,326.31300354003906,498.81296691894534
307.5234069824219,313.17238464355466,324.60252990722654,518.4121337890625,307.5234069824219,313.04067077636716,324.34193115234376,493.86484985351564
330.6512145996094,336.4831298828125,349.0648895263672,531.1428527832031,330.6512145996094,336.2838439941406,348.86557922363284,532.1633422851562
308.4396057128906,310.8330139160156,322.4194305419922,518.12490234375,308.4396057128906,310.8330139160156,322.2290832519531,480.6741546630859
321.87890625,327.2532440185547,339.7154571533203,517.8875610351563,321.87890625,325.8048919677734,338.18677673339846,505.7944366455078
322.4854431152344,325.4454010009766,336.2329437255859,531.156005859375,322.4854431152344,325.99530639648435,336.814013671875,499.1441192626953
321.9129638671875,327.229638671875,339.30494689941406,521.72001953125,321.9129638671875,327.5149169921875,339.58741455078126,526.0822326660157
309.4165954589844,315.2023498535156,326.6334289550781,506.1744842529297,310.3924865722656,315.03736267089846,326.9973999023438,501.90114440917966
322.04144287109375,328.7251007080078,340.7132232666016,527.8343078613282,322.04144287109375,327.72710876464845,339.71483154296874,514.4300872802735
321.1940002441406,327.11928405761716,339.4474243164062,505.2472412109375,321.1940002441406,326.9397735595703,338.89708251953124,509.9412872314453
319.130859375,326.6103271484375,338.4841247558594,519.7524963378906,319.130859375,325.51166381835935,337.38524169921874,521.7454040527343
320.0182800292969,327.0360870361328,339.38987731933594,525.2861877441406,320.0182800292969,325.0541534423828,337.41193237304685,519.0887451171875
326.5005798339844,332.466259765625,344.8263732910156,531.2966613769531,326.5005798339844,332.466259765625,344.8263732910156,527.8332397460938
314.798095703125,323.4897521972656,335.4787139892578,519.9901672363281,314.798095703125,320.0635681152344,330.66539306640624,502.17151794433596
332.5155944824219,337.9719635009766,350.4335540771484,535.5761535644531,332.5155944824219,337.0786895751953,349.5386596679688,529.7335998535157
321.8670654296875,328.27504272460936,340.7870208740234,528.1240844726562,321.8670654296875,328.31154174804686,340.824609375,530.1017272949218
323.1968994140625,327.0834594726563,339.5550262451172,519.4468994140625,323.1968994140625,327.0834594726563,339.555859375,525.0040466308594
317.99578857421875,324.21824035644534,335.75563659667966,509.6443756103516,317.99578857421875,324.11517028808595,335.24419860839845,505.39443054199216
310.66717529296875,315.7341552734375,328.0646026611328,512.2177154541016,310.66717529296875,315.91725769042966,328.25266418457034,509.8974334716797
319.9355773925781,326.316845703125,337.9061309814453,507.35820922851565,319.9355773925781,326.316845703125,337.30763549804686,510.14402160644534
322.3098449707031,331.3170959472656,343.35181579589846,537.775,322.3098449707031,325.4271606445312,337.50171813964846,515.7015197753906
317.6849060058594,322.1068389892578,336.5854156494141,531.2678894042969,317.6849060058594,322.58580627441404,334.8227966308594,503.9301727294922
327.4537658691406,332.60557556152344,344.6806335449219,524.5532165527344,327.4537658691406,332.7338439941406,344.7915283203125,524.1420288085938
319.8492431640625,322.9709869384766,335.11720581054686,528.8793701171875,320.7872009277344,323.68583984375,335.7036529541016,504.5680450439453
327.74578857421875,334.5030853271484,347.1009521484375,531.61796875,327.74578857421875,333.5052093505859,346.1021789550781,529.9631713867187
320.465576171875,327.12998657226564,339.1088531494141,510.05519409179686,320.4073791503906,323.25194396972654,334.2406066894531,499.7194763183594
323.0954895019531,326.5373260498047,339.8367858886719,531.2073059082031,323.0954895019531,326.5373260498047,338.0054016113281,496.71063842773435
320.8985900878906,325.80339965820315,338.48565673828125,525.6564025878906,320.8985900878906,325.7869842529297,338.3362182617187,512.5287048339844
323.76165771484375,330.2081298828125,341.81322021484374,510.4771026611328,323.76165771484375,328.87474060058594,341.4423034667969,513.0731719970703
323.23748779296875,326.8835479736328,339.66582641601565,519.3203918457032,323.23748779296875,326.8549835205078,339.1203674316406,506.70142822265626
320.3946838378906,328.5806640625,341.2829254150391,510.0610046386719,320.3946838378906,325.2049530029297,336.90232543945314,506.7064910888672
334.2814636230469,340.5235534667969,353.1076416015625,529.5692199707031,334.2814636230469,340.5235534667969,353.1076416015625,539.3740539550781
335.5444030761719,342.02342834472654,354.5273010253906,536.79208984375,335.5444030761719,341.1653350830078,353.67437744140625,539.4028015136719
314.8807067871094,320.80455017089844,332.4274566650391,498.4425323486328,314.8807067871094,321.5955749511719,332.71950073242186,505.21551513671875
317.6655578613281,324.37937316894534,336.9560089111328,516.0538391113281,317.6655578613281,323.4826629638672,336.0591186523437,521.1296997070312
312.84686279296875,319.8031280517578,330.9679229736328,489.56752319335936,312.84686279296875,316.21337890625,327.3822845458984,497.1545043945313
322.449462890625,328.3794891357422,340.7168304443359,530.6459228515625,322.449462890625,328.3794891357422,340.7168304443359,526.9608459472656
316.6498107910156,322.2886108398437,334.1569519042969,521.589599609375,315.7438659667969,318.02940368652344,329.8697174072266,514.0247863769531
320.00640869140625,326.7795715332031,339.4543792724609,538.9343078613281,319.403076171875,323.11614990234375,335.811181640625,509.4119598388672
331.50042724609375,336.064208984375,348.54058837890625,533.3658996582031,331.50042724609375,336.9116729736328,349.4079864501953,533.6030151367188
319.7003173828125,325.5879241943359,337.61834411621095,516.0075073242188,319.7003173828125,325.28916625976564,337.31895751953124,521.1784729003906
304.80084228515625,314.18291015625,328.4125274658203,529.1794921875,304.80084228515625,308.33640747070314,319.3821624755859,479.88990173339846
320.07513427734375,326.3226379394531,338.9330352783203,521.9138732910156,320.07513427734375,325.3273040771484,337.94025268554685,520.1474914550781
320.30389404296875,326.70693054199216,338.85240783691404,524.07685546875,320.30389404296875,326.6070098876953,338.8008575439453,525.1825256347656
306.0289306640625,309.73329467773436,321.26405944824216,505.5801177978516,306.0289306640625,308.86664428710935,320.3236602783203,480.8632080078125
310.33050537109375,313.522119140625,326.2426513671875,498.6567413330078,310.96832275390625,313.9255645751953,326.6863647460938,493.15227966308595
322.6211853027344,329.13978881835936,341.46087036132815,526.3822631835938,322.6211853027344,328.2414916992187,340.56353759765625,525.02421875
320.3436584472656,327.6079803466797,339.04795837402344,520.5633239746094,320.3436584472656,323.5217651367187,335.07581787109376,502.72341003417966
336.7745056152344,343.24574890136716,355.6080261230469,535.8629272460937,336.7745056152344,343.24574890136716,355.6080261230469,542.3311401367188
305.3607177734375,311.7224487304687,325.8618194580078,523.3398071289063,305.3607177734375,310.1388702392578,321.8936431884766,493.48927917480466
289.5596923828125,297.3487274169922,308.92156677246095,484.22426452636716,289.5596923828125,292.6016143798828,304.2368621826172,467.7938720703125
304.1395568847656,309.881494140625,321.8874908447266,501.7220916748047,304.1395568847656,309.8634063720703,322.41517944335936,496.8839447021484
327.75439453125,333.9149993896484,346.4440490722656,528.7775939941406,327.75439453125,333.9149993896484,346.4440490722656,531.1043395996094
314.94268798828125,318.54193725585935,327.97349243164064,525.9211791992187,314.94268798828125,318.5765869140625,328.1126434326172,490.9499237060547
325.2576599121094,330.17405090332034,342.8605560302734,529.0530029296875,325.2576599121094,330.17405090332034,342.8605560302734,525.1817504882813
315.3143615722656,320.2782012939453,333.7199768066406,517.8541809082031,314.3152770996094,319.20472412109376,331.64271850585936,510.5792694091797
324.96142578125,329.82130126953126,342.33933715820314,525.0551696777344,324.96142578125,329.8073394775391,342.3225372314453,521.3589416503906
323.05419921875,328.07933349609374,340.19249267578124,514.3076354980469,323.05419921875,328.2129272460937,340.3165008544922,523.1811645507812
313.5079040527344,318.5897491455078,331.09259033203125,516.0610229492188,313.5079040527344,318.5897491455078,331.0987976074219,512.9018432617188
326.2071533203125,333.70201721191404,348.12750244140625,551.9585083007812,326.2071533203125,330.4877868652344,341.2796325683594,497.99338684082034
330.5697326660156,335.7922027587891,348.3398010253906,528.6501098632813,330.5697326660156,335.7915893554688,348.3224822998047,529.0271850585938
321.25482177734375,327.4741638183594,339.15456237792966,522.6286376953125,321.25482177734375,325.6717498779297,337.35791015625,515.0828033447266
320.8619689941406,326.01454772949216,339.0578552246094,534.9700500488282,320.8619689941406,326.03029479980466,338.541259765625,508.8133880615234
330.79339599609375,336.3755615234375,348.75794372558596,544.147509765625,330.79339599609375,336.2370239257813,348.6227783203125,534.8319763183594
312.12640380859375,317.6589660644531,329.6072967529297,523.0861511230469,312.12640380859375,318.40648193359374,330.2824340820313,516.150439453125
322.62750244140625,327.6504272460937,340.0638671875,521.5228149414063,322.62750244140625,325.9345764160156,338.39435424804685,513.1028289794922
310.4456787109375,316.55910339355466,329.6493316650391,516.1915588378906,310.4456787109375,316.55910339355466,328.9670349121094,516.7263244628906
318.16131591796875,325.2297790527344,337.5078186035156,525.1829528808594,318.16131591796875,325.2297790527344,336.3045654296875,509.20537719726565
321.369140625,327.7210205078125,339.3543670654297,520.51533203125,321.369140625,325.10362243652344,337.0011383056641,504.2160614013672
306.3812255859375,308.9110504150391,319.8804443359375,508.3290710449219,306.3812255859375,308.9110504150391,319.6471313476562,484.1365112304687
296.875,301.0725067138672,312.80962524414065,517.2774871826172,296.875,300.095361328125,311.836181640625,485.1167785644531
313.6172790527344,317.53416748046874,330.48524169921876,520.0703582763672,313.6172790527344,315.62082824707034,328.59291076660156,487.1414733886719
314.9225769042969,320.3795562744141,332.626611328125,524.2623413085937,314.9225769042969,319.9875854492187,332.23084716796876,514.5340942382812
310.9267578125,316.8634552001953,329.09783630371095,508.2657897949219,310.9267578125,316.01634826660154,328.1184783935547,498.46148986816405
320.4230041503906,325.21044921875,337.69776611328126,522.0458068847656,320.4230041503906,324.59442443847655,336.9864044189453,517.8888854980469
313.42364501953125,319.5293334960937,331.12587890625,504.73923645019534,313.42364501953125,317.1223663330078,328.671533203125,499.84137573242185
